Time,SampleCounts
1503579604,20
1503579605,20
1503579606,20
1503579607,20
1503579608,19
1503579609,20
1503579610,20
1503579611,20
1503579612,20
1503579613,20
1503579614,20
1503579615,20
1503579616,20
1503579617,20
1503579618,20
1503579619,20
1503579620,20
1503579621,20
1503579622,20
1503579623,20
1503579624,20
1503579625,20
1503579626,20
1503579627,20
1503579628,19
1503579629,20
1503579630,20
1503579631,20
1503579632,20
1503579633,20
1503579634,20
1503579635,20
1503579636,20
1503579637,20
1503579638,20
1503579639,20
1503579640,20
1503579641,20
1503579642,20
1503579643,20
1503579644,20
1503579645,20
1503579646,20
1503579647,20
1503579648,19
1503579649,20
1503579650,20
1503579651,20
1503579652,20
1503579653,20
1503579654,20
1503579655,20
1503579656,20
1503579657,20
1503579658,20
1503579659,20
1503579660,20
1503579661,20
1503579662,20
1503579663,20
1503579664,20
1503579665,20
1503579666,20
1503579667,20
1503579668,20
1503579669,20
1503579670,20
1503579671,20
1503579672,20
1503579673,19
1503579674,20
1503579675,20
1503579676,20
1503579677,20
1503579678,20
1503579679,20
1503579680,20
1503579681,20
1503579682,20
1503579683,20
1503579684,20
1503579685,20
1503579686,20
1503579687,20
1503579688,20
1503579689,20
1503579690,20
1503579691,20
1503579692,20
1503579693,20
1503579694,20
1503579695,20
1503579696,20
1503579697,20
1503579698,20
1503579699,20
1503579700,19
1503579701,20
1503579702,20
1503579703,20
1503579704,20
1503579705,20
1503579706,20
1503579707,20
1503579708,20
1503579709,20
1503579710,20
1503579711,20
1503579712,20
1503579713,20
1503579714,20
1503579715,20
1503579716,20
1503579717,19
1503579718,20
1503579719,20
1503579720,20
1503579721,20
1503579722,20
1503579723,20
1503579724,20
1503579725,20
1503579726,20
1503579727,20
1503579728,20
1503579729,20
1503579730,20
1503579731,20
1503579732,20
1503579733,20
1503579734,20
1503579735,20
1503579736,20
1503579737,20
1503579738,20
1503579739,20
1503579740,20
1503579741,20
1503579742,20
1503579743,20
1503579744,20
1503579745,20
1503579746,20
1503579747,20
1503579748,20
1503579749,20
1503579750,19
1503579751,20
1503579752,20
1503579753,20
1503579754,20
1503579755,20
1503579756,20
1503579757,20
1503579758,20
1503579759,20
1503579760,20
1503579761,20
1503579762,20
1503579763,20
1503579764,20
1503579765,20
1503579766,20
1503579767,20
1503579768,20
1503579769,20
1503579770,20
1503579771,20
1503579772,20
1503579773,20
1503579774,20
1503579775,20
1503579776,20
1503579777,20
1503579778,19
1503579779,20
1503579780,20
1503579781,20
1503579782,20
1503579783,20
1503579784,20
1503579785,20
1503579786,20
1503579787,20
1503579788,20
1503579789,20
1503579790,20
1503579791,20
1503579792,20
1503579793,20
1503579794,20
1503579795,20
1503579796,20
1503579797,19
1503579798,20
1503579799,20
1503579800,20
1503579801,20
1503579802,20
1503579803,20
1503579804,20
1503579805,20
1503579806,20
1503579807,20
1503579808,20
1503579809,20
1503579810,20
1503579811,20
1503579812,20
1503579813,20
1503579814,20
1503579815,20
1503579816,20
1503579817,20
1503579818,20
1503579819,20
1503579820,20
1503579821,20
1503579822,20
1503579823,20
1503579824,20
1503579825,20
1503579826,20
1503579827,20
1503579828,20
1503579829,20
1503579830,19
1503579831,20
1503579832,20
1503579833,20
1503579834,20
1503579835,20
1503579836,20
1503579837,20
1503579838,20
1503579839,20
1503579840,20
1503579841,20
1503579842,20
1503579843,20
1503579844,20
1503579845,20
1503579846,20
1503579847,20
1503579848,20
1503579849,20
1503579850,20
1503579851,20
1503579852,20
1503579853,20
1503579854,20
1503579855,20
1503579856,20
1503579857,20
1503579858,20
1503579859,20
1503579860,20
1503579861,20
1503579862,20
1503579863,20
1503579864,20
1503579865,20
1503579866,20
1503579867,20
1503579868,19
1503579869,20
1503579870,20
1503579871,20
1503579872,20
1503579873,20
1503579874,20
1503579875,20
1503579876,20
1503579877,20
1503579878,20
1503579879,20
1503579880,20
1503579881,20
1503579882,20
1503579883,20
1503579884,20
1503579885,20
1503579886,20
1503579887,20
1503579888,20
1503579889,20
1503579890,20
1503579891,20
1503579892,20
1503579893,20
1503579894,20
1503579895,20
1503579896,20
1503579897,20
1503579898,19
1503579899,20
1503579900,20
1503579901,20
1503579902,20
1503579903,20
1503579904,20
1503579905,20
1503579906,20
1503579907,20
1503579908,20
1503579909,20
1503579910,20
1503579911,20
1503579912,20
1503579913,20
1503579914,20
1503579915,20
1503579916,20
1503579917,20
1503579918,20
1503579919,20
1503579920,20
1503579921,20
1503579922,20
1503579923,20
1503579924,20
1503579925,20
1503579926,19
1503579927,20
1503579928,20
1503579929,20
1503579930,20
1503579931,20
1503579932,20
1503579933,20
1503579934,20
1503579935,20
1503579936,20
1503579937,20
1503579938,20
1503579939,20
1503579940,20
1503579941,20
1503579942,20
1503579943,20
1503579944,20
1503579945,20
1503579946,20
1503579947,20
1503579948,20
1503579949,20
1503579950,20
1503579951,20
1503579952,19
1503579953,20
1503579954,20
1503579955,20
1503579956,20
1503579957,20
1503579958,20
1503579959,20
1503579960,20
1503579961,20
1503579962,20
1503579963,20
1503579964,20
1503579965,20
1503579966,20
1503579967,20
1503579968,20
1503579969,20
1503579970,20
1503579971,20
1503579972,20
1503579973,20
1503579974,20
1503579975,20
1503579976,20
1503579977,20
1503579978,20
1503579979,20
1503579980,20
1503579981,20
1503579982,20
1503579983,20
1503579984,20
1503579985,20
1503579986,19
1503579987,20
1503579988,20
1503579989,20
1503579990,20
1503579991,20
1503579992,20
1503579993,20
1503579994,20
1503579995,20
1503579996,20
1503579997,20
1503579998,20
1503579999,20
1503580000,20
1503580001,20
1503580002,20
1503580003,20
1503580004,20
1503580005,20
1503580006,20
1503580007,20
1503580008,20
1503580009,20
1503580010,20
1503580011,20
1503580012,20
1503580013,20
1503580014,20
1503580015,20
1503580016,20
1503580017,20
1503580018,20
1503580019,20
1503580020,20
1503580021,20
1503580022,20
1503580023,20
1503580024,20
1503580025,20
1503580026,20
1503580027,20
1503580028,20
1503580029,20
1503580030,20
1503580031,20
1503580032,19
1503580033,20
1503580034,20
1503580035,20
1503580036,20
1503580037,20
1503580038,20
1503580039,20
1503580040,20
1503580041,20
1503580042,20
1503580043,20
1503580044,20
1503580045,20
1503580046,20
1503580047,20
1503580048,20
1503580049,20
1503580050,20
1503580051,20
1503580052,20
1503580053,20
1503580054,20
1503580055,20
1503580056,20
1503580057,20
1503580058,20
1503580059,20
1503580060,20
1503580061,20
1503580062,20
1503580063,20
1503580064,20
1503580065,20
1503580066,20
1503580067,20
1503580068,20
1503580069,20
1503580070,20
1503580071,20
1503580072,20
1503580073,20
1503580074,20
1503580075,20
1503580076,20
1503580077,20
1503580078,20
1503580079,20
1503580080,20
1503580081,20
1503580082,20
1503580083,19
1503580084,20
1503580085,20
1503580086,20
1503580087,20
1503580088,20
1503580089,20
1503580090,20
1503580091,20
1503580092,20
1503580093,20
1503580094,20
1503580095,20
1503580096,20
1503580097,20
1503580098,20
1503580099,20
1503580100,20
1503580101,20
1503580102,20
1503580103,20
1503580104,20
1503580105,20
1503580106,20
1503580107,20
1503580108,20
1503580109,20
1503580110,20
1503580111,20
1503580112,20
1503580113,20
1503580114,20
1503580115,20
1503580116,20
1503580117,20
1503580118,20
1503580119,20
1503580120,20
1503580121,20
1503580122,20
1503580123,20
1503580124,20
1503580125,20
1503580126,20
1503580127,20
1503580128,20
1503580129,20
1503580130,20
1503580131,20
1503580132,20
1503580133,20
1503580134,20
1503580135,20
1503580136,20
1503580137,20
1503580138,19
1503580139,20
1503580140,20
1503580141,20
1503580142,20
1503580143,20
1503580144,20
1503580145,20
1503580146,20
1503580147,20
1503580148,20
1503580149,20
1503580150,20
1503580151,20
1503580152,20
1503580153,20
1503580154,20
1503580155,20
1503580156,20
1503580157,20
1503580158,20
1503580159,20
1503580160,20
1503580161,20
1503580162,20
1503580163,20
1503580164,20
1503580165,20
1503580166,20
1503580167,20
1503580168,20
1503580169,20
1503580170,20
1503580171,20
1503580172,20
1503580173,20
1503580174,20
1503580175,20
1503580176,20
1503580177,20
1503580178,20
1503580179,20
1503580180,20
1503580181,20
1503580182,20
1503580183,20
1503580184,20
1503580185,20
1503580186,20
1503580187,20
1503580188,20
1503580189,20
1503580190,20
1503580191,20
1503580192,20
1503580193,20
1503580194,20
1503580195,20
1503580196,20
1503580197,20
1503580198,19
1503580199,20
1503580200,20
1503580201,20
1503580202,20
1503580203,20
1503580204,20
1503580205,20
1503580206,20
1503580207,20
1503580208,20
1503580209,20
1503580210,20
1503580211,20
1503580212,20
1503580213,20
1503580214,20
1503580215,20
1503580216,20
1503580217,20
1503580218,20
1503580219,20
1503580220,20
1503580221,20
1503580222,20
1503580223,20
1503580224,20
1503580225,20
1503580226,20
1503580227,20
1503580228,20
1503580229,20
1503580230,20
1503580231,20
1503580232,20
1503580233,20
1503580234,20
1503580235,20
1503580236,20
1503580237,20
1503580238,20
1503580239,20
1503580240,20
1503580241,20
1503580242,20
1503580243,20
1503580244,20
1503580245,20
1503580246,20
1503580247,20
1503580248,20
1503580249,20
1503580250,20
1503580251,20
1503580252,20
1503580253,20
1503580254,20
1503580255,20
1503580256,20
1503580257,19
1503580258,20
1503580259,20
1503580260,20
1503580261,20
1503580262,20
1503580263,20
1503580264,20
1503580265,20
1503580266,20
1503580267,20
1503580268,20
1503580269,20
1503580270,20
1503580271,20
1503580272,20
1503580273,20
1503580274,20
1503580275,20
1503580276,20
1503580277,20
1503580278,20
1503580279,20
1503580280,20
1503580281,20
1503580282,20
1503580283,20
1503580284,20
1503580285,20
1503580286,20
1503580287,20
1503580288,20
1503580289,20
1503580290,20
1503580291,20
1503580292,20
1503580293,20
1503580294,20
1503580295,20
1503580296,20
1503580297,20
1503580298,20
1503580299,20
1503580300,20
1503580301,20
1503580302,20
1503580303,20
1503580304,20
1503580305,20
1503580306,20
1503580307,20
1503580308,20
1503580309,20
1503580310,20
1503580311,20
1503580312,19
1503580313,21
1503580314,19
1503580315,20
1503580316,20
1503580317,20
1503580318,20
1503580319,20
1503580320,20
1503580321,20
1503580322,20
1503580323,20
1503580324,20
1503580325,20
1503580326,20
1503580327,20
1503580328,20
1503580329,20
1503580330,20
1503580331,20
1503580332,20
1503580333,20
1503580334,20
1503580335,20
1503580336,20
1503580337,20
1503580338,20
1503580339,20
1503580340,20
1503580341,20
1503580342,20
1503580343,20
1503580344,20
1503580345,20
1503580346,20
1503580347,20
1503580348,20
1503580349,20
1503580350,20
1503580351,20
1503580352,20
1503580353,19
1503580354,20
1503580355,20
1503580356,20
1503580357,20
1503580358,20
1503580359,20
1503580360,20
1503580361,20
1503580362,20
1503580363,20
1503580364,20
1503580365,20
1503580366,20
1503580367,20
1503580368,20
1503580369,20
1503580370,20
1503580371,20
1503580372,20
1503580373,20
1503580374,20
1503580375,20
1503580376,20
1503580377,20
1503580378,20
1503580379,20
1503580380,20
1503580381,20
1503580382,20
1503580383,20
1503580384,20
1503580385,19
1503580386,20
1503580387,20
1503580388,20
1503580389,20
1503580390,20
1503580391,20
1503580392,20
1503580393,20
1503580394,20
1503580395,20
1503580396,20
1503580397,20
1503580398,20
1503580399,20
1503580400,20
1503580401,20
1503580402,20
1503580403,20
1503580404,20
1503580405,20
1503580406,20
1503580407,20
1503580408,20
1503580409,20
1503580410,20
1503580411,20
1503580412,20
1503580413,19
1503580414,20
1503580415,20
1503580416,20
1503580417,20
1503580418,20
1503580419,20
1503580420,20
1503580421,20
1503580422,20
1503580423,20
1503580424,20
1503580425,20
1503580426,20
1503580427,20
1503580428,20
1503580429,20
1503580430,20
1503580431,20
1503580432,20
1503580433,20
1503580434,20
1503580435,20
1503580436,20
1503580437,20
1503580438,20
1503580439,19
1503580440,20
1503580441,20
1503580442,20
1503580443,20
1503580444,20
1503580445,20
1503580446,20
1503580447,20
1503580448,20
1503580449,20
1503580450,20
1503580451,20
1503580452,20
1503580453,20
1503580454,20
1503580455,20
1503580456,20
1503580457,20
1503580458,20
1503580459,20
1503580460,20
1503580461,20
1503580462,20
1503580463,20
1503580464,20
1503580465,20
